GROUP_VALUE,GP,MIN,TS_PCT,USG_PCT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,E_NET_RATING,AST_PCT,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,PACE,E_PACE,PIE,PERSON_ID,SEASON_START_YEAR
2022-23,56,19.5,0.681,0.174,109.0,108.5,108.3,107.1,0.7,1.4,0.1,0.079,0.177,0.129,10.3,10.2,0.658,104.0,104.86,0.134,1629634,2022
2023-24,6,22.4,0.548,0.188,100.7,100.1,104.6,105.2,-3.9,-5.1,0.111,0.077,0.145,0.107,4.1,4.0,0.568,101.31,101.35,0.126,1629634,2023
2019-20,69,15.1,0.505,0.112,109.9,109.8,103.5,103.5,6.3,6.3,0.085,0.053,0.106,0.079,14.2,14.2,0.469,102.84,102.9,0.038,1629684,2019
2020-21,63,18.1,0.546,0.12,107.4,107.5,109.3,108.4,-1.9,-0.8,0.079,0.04,0.113,0.076,14.4,14.4,0.534,101.01,101.41,0.04,1629684,2020
2021-22,77,24.4,0.635,0.123,112.5,111.9,108.0,106.7,4.5,5.2,0.058,0.035,0.107,0.072,10.2,10.1,0.597,98.4,99.24,0.067,1629684,2021
2022-23,79,25.9,0.605,0.128,114.9,114.1,109.0,109.1,5.9,5.0,0.086,0.042,0.134,0.088,11.1,11.0,0.575,99.67,99.96,0.069,1629684,2022
2023-24,76,28.0,0.588,0.157,110.8,110.7,116.6,115.1,-5.7,-4.3,0.114,0.04,0.11,0.075,11.5,11.5,0.56,99.74,100.44,0.065,1629684,2023
2019-20,61,18.5,0.497,0.146,98.9,99.1,102.1,101.7,-3.2,-2.6,0.054,0.025,0.172,0.101,10.4,10.5,0.472,101.87,101.98,0.087,1629647,2019
2020-21,55,31.2,0.491,0.218,100.7,99.8,113.8,113.3,-13.1,-13.5,0.091,0.027,0.193,0.108,12.3,12.3,0.456,102.43,103.1,0.086,1629647,2020
2021-22,69,27.9,0.515,0.18,101.8,101.3,113.1,112.4,-11.3,-11.1,0.078,0.034,0.176,0.104,9.9,9.9,0.484,100.92,101.47,0.093,1629647,2021
2022-23,7,8.7,0.515,0.224,99.2,98.1,122.4,124.9,-23.2,-26.8,0.167,0.074,0.186,0.126,13.2,13.1,0.52,103.28,102.79,0.085,1629647,2022
2019-20,31,10.6,0.425,0.17,97.4,98.4,110.9,110.6,-13.5,-12.2,0.222,0.019,0.12,0.066,9.9,9.9,0.398,103.08,102.69,0.066,1629660,2019
2020-21,33,23.9,0.585,0.181,103.5,103.7,112.0,112.0,-8.5,-8.3,0.229,0.012,0.1,0.055,10.0,10.0,0.57,102.91,102.88,0.095,1629660,2020
2021-22,48,16.7,0.488,0.205,98.9,98.9,100.4,101.1,-1.5,-2.2,0.229,0.021,0.072,0.045,7.5,7.5,0.46,98.98,98.63,0.081,1629660,2021
2022-23,45,18.1,0.594,0.147,110.7,111.5,116.3,116.6,-5.6,-5.2,0.233,0.009,0.091,0.049,7.1,7.1,0.56,102.32,101.82,0.092,1629660,2022
2023-24,2,7.4,0.5,0.147,106.7,107.5,143.8,152.5,-37.1,-45.0,0.273,0.067,0.0,0.04,12.5,12.5,0.5,100.43,97.06,0.034,1629660,2023
